"title","artists","date","duration","genre"
"0ffline","Tha Supreme","31 luglio 2020","3:21","Trap"
"1, 2, 3","Sofía Reyes","16 febbraio 2018","3:21","Pop latinoReggaeton"
"3 Words","Cheryl","18 dicembre 2009","4:33","Dance pop"
"4/3/1943/Il fiume e la città","Lucio Dalla","1971","3:40 (4/3/1943)3:48 (Il fiume e la città)","Musica d'autore"
"5olo","Tha Supreme","9 febbraio 2018","2:07","Hip hop"
"6 A.M.","The Night Skinny","8 dicembre 2017","4:39","Hip hop"
"6 del mattino","Jake La Furia","28 giugno 2019","2:58","Pop"
"6itch","Tha Supreme","5 ottobre 2017","1:23","Hip hop"
"7 miliardi","Massimo Pericolo","22 gennaio 2019","2:47","Hardcore hip hopHip hop"
"7/11","Beyoncé","25 novembre 2014","3:33","Trap"
